ell Cl Dl
474 6.033057365412377443e-02 2.161869815092774388e+03
475 6.587081335801672766e-02 2.370356781174255957e+03
476 6.561374305102704585e-02 2.371047622962616060e+03
477 6.262760061383525201e-02 2.272648029215602946e+03
478 5.890592008704531590e-02 2.146557297865889268e+03
479 6.651444544052062535e-02 2.433956750918948728e+03
480 6.531706731332943827e-02 2.400120920207402833e+03
481 6.597737279977691771e-02 2.434485904333790586e+03
482 6.532707516360684863e-02 2.420513532071124700e+03
483 6.947676235910224540e-02 2.584950291320101314e+03
484 6.148501241572937315e-02 2.297081990877495628e+03
485 5.644558401549421706e-02 2.117522873802432969e+03
486 6.409931394348923617e-02 2.414564123301814561e+03
487 6.015358680154495041e-02 2.275256916037883457e+03
488 6.748972897269453486e-02 2.563223622548448020e+03
489 5.790578610775558993e-02 2.208243865324971466e+03
490 6.886981735491130852e-02 2.637100220247335983e+03
491 6.646399619578251261e-02 2.555366379320549186e+03
492 6.635478993457338825e-02 2.561559406656277588e+03
493 6.734409890499959417e-02 2.610318768854453992e+03
494 6.740425605986838375e-02 2.623249503000615277e+03
495 5.821395698070146174e-02 2.274752377837725362e+03
496 5.919573590285657355e-02 2.322462021327090952e+03
497 5.807810418916140721e-02 2.287801258864212741e+03
498 6.349100128174264834e-02 2.511089523730428482e+03
499 6.529492983267161377e-02 2.592806705006183620e+03
500 6.657392277432558347e-02 2.654190007083282126e+03
501 6.599691800886992032e-02 2.641710543551916544e+03
502 6.048337125709823264e-02 2.430680203748498116e+03
503 6.076095060213248383e-02 2.451563873414109821e+03
504 6.641892512940700266e-02 2.690505531425271784e+03
505 6.372241187388273664e-02 2.591518013566658283e+03
506 6.342743612554094246e-02 2.589737612851443373e+03
507 6.303956514145568624e-02 2.584074389946796146e+03
508 6.214147900603583796e-02 2.557309027825150679e+03
509 6.254530741406574834e-02 2.584061357073909221e+03
510 6.523054931971104808e-02 2.705591611118785295e+03
511 6.198691749162460463e-02 2.581136860413337672e+03
512 6.872016148040209493e-02 2.872708960719593961e+03
513 6.388192886396820702e-02 2.680887789106140190e+03
514 5.962951556128417291e-02 2.512185824949501239e+03
515 5.962810007706229737e-02 2.521901000814400504e+03
516 5.838171108158498462e-02 2.478775504338540941e+03
517 6.266156901102774845e-02 2.670802042300430458e+03
518 6.396189411905123245e-02 2.736771668838905953e+03
519 6.142019094300342485e-02 2.638165249201997540e+03
520 5.900007196095253398e-02 2.543980276595779287e+03
521 5.952820118385709902e-02 2.576624412440143715e+03
522 6.324916371660749270e-02 2.748192253678283578e+03
523 6.143832633675153782e-02 2.679738920002887426e+03
524 5.639008453383379665e-02 2.468956667175101302e+03
525 6.110118720301514067e-02 2.685436131707322147e+03
526 5.791986154531196529e-02 2.555312421191442809e+03
527 5.904178110421948872e-02 2.614713563224554036e+03
528 5.914366183849659175e-02 2.629165569342326762e+03
529 6.470290653450980201e-02 2.887190655407167469e+03
530 5.415745924677791562e-02 2.425765437540846506e+03
531 6.066978469933319990e-02 2.727713409900577062e+03
532 5.804396846277253691e-02 2.619485932178875373e+03
533 5.579667671297210835e-02 2.527533558695603460e+03
534 5.928524874377869014e-02 2.695639534020516294e+03
535 5.906825639252626103e-02 2.695832189409704824e+03
