ell Cl Dl
357 1.283135529316730417e-01 2.610020418663530563e+03
358 1.110493135263619091e-01 2.271503890984502505e+03
359 1.119923361711974014e-01 2.303591063950751504e+03
360 1.095449909273736866e-01 2.265804098544403587e+03
361 1.153731304818395725e-01 2.399609545241257365e+03
362 1.105650645964024459e-01 2.312348302341672934e+03
363 1.058128858461813704e-01 2.225187949916375601e+03
364 1.177808194696111088e-01 2.490513793513565815e+03
365 9.902670607539273973e-02 2.105457187375232024e+03
366 9.993634044342214473e-02 2.136440111944907130e+03
367 9.993770160018021487e-02 2.148143905908863417e+03
368 1.006966742449335595e-01 2.176253304743920125e+03
369 1.038409565360895181e-01 2.256404212632763574e+03
370 9.186650639974720811e-02 2.007025850261599544e+03
371 9.874025519555132413e-02 2.168858538117111038e+03
372 1.011158334158623329e-01 2.233012062435798271e+03
373 9.827997911776233109e-02 2.182054638945604438e+03
374 9.283247233782143670e-02 2.072158245993829951e+03
375 9.848075135302999938e-02 2.209991471190640368e+03
376 9.256522417707811756e-02 2.088320655218603861e+03
377 9.166342286565022646e-02 2.078975408216302185e+03
378 9.283995180237676614e-02 2.116830321702295350e+03
379 9.771302251882063583e-02 2.239728547728844205e+03
380 8.376140779424276483e-02 1.930068273904539410e+03
381 8.727279498600321039e-02 2.021563348344810265e+03
382 8.125377450483631248e-02 1.892020392764901771e+03
383 8.265900352495585135e-02 1.934818785709074973e+03
384 8.669808788876184891e-02 2.039959779449522784e+03
385 7.643674078012573092e-02 1.807883023019332768e+03
386 8.060706492939008483e-02 1.916423594816314107e+03
387 8.462413832114687451e-02 2.022353550392739180e+03
388 7.576465011962144058e-02 1.819986139639707289e+03
389 7.735261179775050622e-02 1.867709475706111789e+03
390 8.070532056758676631e-02 1.958680785570463513e+03
391 7.361182904524470050e-02 1.795686695493519665e+03
392 8.107188715783045230e-02 1.987783271920257903e+03
393 7.352166152457050019e-02 1.811858246609272101e+03
394 7.530648845313954454e-02 1.865287783979586493e+03
395 7.492540180626248991e-02 1.865269091641100886e+03
396 7.255171981618480093e-02 1.815321436200327980e+03
397 6.969695197405650910e-02 1.752699634853855741e+03
398 7.145139865110783362e-02 1.805871457527731309e+03
399 7.240315597785353108e-02 1.839121899024892627e+03
400 7.382404274950284118e-02 1.884613596146768259e+03
401 7.215028662749836674e-02 1.851094617826390959e+03
402 7.055813689135799482e-02 1.819274932439077020e+03
403 6.866781706638713789e-02 1.779343451710340787e+03
404 6.825792689435097871e-02 1.777500018293586209e+03
405 6.842970589263638881e-02 1.790794953487848716e+03
406 6.770532438811982523e-02 1.780587817417673932e+03
407 6.891698096542422936e-02 1.821381613258758762e+03
408 6.542097168359961579e-02 1.737483116137164643e+03
409 6.435881926520302387e-02 1.717652731051853380e+03
410 6.555261089876980585e-02 1.758068546845100173e+03
411 6.641414184268551457e-02 1.789862771300911390e+03
412 6.348741823887640856e-02 1.719313470750304759e+03
413 7.071651229916182946e-02 1.924382318012970245e+03
414 6.655987145449768216e-02 1.820040466024471471e+03
415 7.042328634094892348e-02 1.934986087392492209e+03
416 6.634067429083959078e-02 1.831594786394479570e+03
417 5.894868858136238093e-02 1.635334565116506155e+03
418 6.582470459513566075e-02 1.834844883379107614e+03
419 6.820228790499996419e-02 1.910215605420285101e+03
420 6.539321305898422587e-02 1.840281221672251831e+03
421 6.230535676421321278e-02 1.761732903340465782e+03
422 6.127569309225940758e-02 1.740849320268857809e+03
423 6.736729136515222371e-02 1.922982985575255725e+03
424 6.311282387310958308e-02 1.810058164119221146e+03
425 6.288987827083172832e-02 1.812171996252193821e+03
426 6.144047865150309429e-02 1.778738872287453887e+03
427 6.284661491962395541e-02 1.827989370793598709e+03
428 6.303993961165650639e-02 1.842200862474839596e+03
429 6.828207132701835658e-02 2.004714660142532239e+03
430 6.490271197503096057e-02 1.914382438567905183e+03
431 6.159579228312715010e-02 1.825291344451543182e+03
432 6.563897933943158014e-02 1.954130639006757292e+03
433 5.854740056326725867e-02 1.751077530067161661e+03
434 6.526932016229994304e-02 1.961138236582079799e+03
435 6.309896571561220135e-02 1.904662882367693328e+03
436 5.666233027920926368e-02 1.718234714551882689e+03
437 6.622505198377007241e-02 2.017427734547507043e+03
438 6.185056231947248795e-02 1.892789921430991399e+03
439 5.530984472903980459e-02 1.700355645352919737e+03
440 6.199845870925284330e-02 1.914662760972039905e+03
441 5.983352435767925331e-02 1.856203448515322862e+03
442 6.910259762815755546e-02 2.153478302751621413e+03
443 6.458860114898204441e-02 2.021914127326321250e+03
444 6.192800779550965140e-02 1.947377831791055087e+03
445 5.989364482447225024e-02 1.891889401181598714e+03
446 5.424488028661960531e-02 1.721160095555965881e+03
447 5.803383752127773410e-02 1.849638932880325910e+03
448 6.037783045980775476e-02 1.932956097725372501e+03
449 6.175345791759303399e-02 1.985821770685689216e+03
450 6.234650639763546914e-02 2.013823061838030071e+03
451 5.812869155065528148e-02 1.885930376181008342e+03
452 6.672546516280417062e-02 2.174444756430073085e+03
453 6.366916415074988511e-02 2.084026969984327934e+03
454 6.022827852917007896e-02 1.980103225915419443e+03
455 6.411171390514613933e-02 2.117062883031650472e+03
456 6.600356673257348761e-02 2.189115011906065320e+03
457 6.338793139083821748e-02 2.111584127963006722e+03
458 6.082150181549705187e-02 2.034957928114465403e+03
459 6.520833369942297120e-02 2.191259194848802508e+03
460 6.153309341563911739e-02 2.076766345695726613e+03
461 6.755571192656850688e-02 2.289945295915998940e+03
462 6.478214297699477764e-02 2.205456054240956746e+03
463 6.342901266449646469e-02 2.168737826842137565e+03
464 6.238718462050353575e-02 2.142330409758693349e+03
465 6.995577776229708333e-02 2.412584818402664951e+03
466 6.529873686616345652e-02 2.261662042348237719e+03
467 6.717488593807391384e-02 2.336629218034624955e+03
468 6.720482644682501672e-02 2.347682114294978419e+03
469 6.205792066299598009e-02 2.177148497612059600e+03
470 5.966988689508249954e-02 2.102297197389799749e+03
471 6.438406538772202536e-02 2.278040459529320287e+03
472 6.172123326722959991e-02 2.193097128388539204e+03
473 6.578594263504984607e-02 2.347430354124661335e+03
