Omega_m,H0,Chi_sq,Type
0.2544375117120791,70.52313085019257,1042.0662070606459,2.0
0.2568477698243345,70.4147830821289,1041.9406060530205,1.0
0.24639074996554264,70.59724910392787,1046.3352949310236,2.0
0.2459180608733147,70.41470491964904,1050.8308865932775,2.0
0.2552535004169245,70.68728151515079,1042.1542053658532,1.0
0.2499450672183489,70.63603487327259,1043.8803773872069,2.0
0.2498051294204166,70.5839064199858,1044.2157630594995,2.0
0.25334288838895375,70.53280076275058,1042.5801974051221,1.0
0.2553391140755628,70.57706865779751,1041.4538728648718,1.0
0.25557962938730405,70.85582057070151,1045.7641811017147,2.0
0.2591484161165753,70.64850348956898,1040.9027195737312,1.0
0.2578516142067081,70.59720447791717,1040.6603892184394,1.0
0.2635166774277574,70.73514239079347,1042.8171743395153,2.0
0.25849712405081504,70.61890194234029,1040.6727658577263,1.0
0.26096468913082,70.65032968415785,1040.722649678419,2.0
0.25169243740763325,70.44491332942958,1044.8973077071555,2.0
0.26148456584475316,70.38822741608,1039.7971541903696,1.0
0.26688522801431347,70.46659792902841,1037.9126203549672,1.0
0.26475872497855574,70.61047544007688,1039.8536609296295,2.0
0.26378793665714917,70.42804590221851,1038.5948835837137,1.0
0.26380529396114966,70.51691271294506,1038.7556629751002,2.0
0.26937761131390975,70.47111812823489,1037.6909172026926,1.0
0.27024920912525463,70.46898082511123,1037.631029205395,1.0
0.2760492120160758,70.39214274047315,1036.8092004657565,1.0
0.27529121133308326,70.34993660416497,1036.4134797413165,1.0
0.2798904037466383,70.42290727279638,1037.895539609744,2.0
0.2785078625060716,70.13664441550394,1036.6194664458012,1.0
0.272998430805894,70.41057944333637,1036.9514415394892,2.0
0.26963562787848233,70.33855967950782,1037.2126323480475,2.0
0.27361279352606704,70.38265738516968,1036.699278517835,1.0
0.2736396167873618,70.16293679678957,1037.7805876775997,2.0
0.2792432770039022,70.49091155520019,1039.395020219985,2.0
0.27289092645036866,70.36626950082459,1036.6538680589174,1.0
0.2691738963108419,70.44587062447765,1037.4824467816873,2.0
0.26445819160008616,70.49043516364205,1038.4742580849108,2.0
0.26604553743213855,70.57863625669584,1039.2777881291217,2.0
0.2708957847060885,70.61486131463658,1040.6304347158393,2.0
0.2741829232585131,70.56733093255225,1040.0711221744655,1.0
0.2713640690250311,70.4248478033809,1037.1423600260318,1.0
0.2805732165081265,70.32212315504793,1036.3598235486975,1.0
0.2860521255405753,70.25443687080455,1036.3713005452441,2.0
0.2891214152364191,70.05983944366147,1035.9124989077748,1.0
0.28197310131269265,70.16420361713008,1035.7962537437584,1.0
0.2816130681765507,70.13962229580014,1035.97867319104,2.0
0.27989265791110174,70.21849634351173,1035.826159182669,1.0
0.2814151335561679,70.21310546308527,1035.743494891908,1.0
